cluster_10_nome_marco,annotazioni_parsate,count
SonoEstremistiReligiosi,odiano italiani,4
SonoEstremistiReligiosi,religione a misoginia,2
SonoEstremistiReligiosi,sono autoritari,10
SonoEstremistiReligiosi,sono estremisti,10
SonoEstremistiReligiosi,sono fanatici,3
SonoEstremistiReligiosi,sono fondamentalisti,2
SonoEstremistiReligiosi,sono incompatibili,23
SonoEstremistiReligiosi,sono integralisti,14
SonoEstremistiReligiosi,sono intolleranti,17
SonoEstremistiReligiosi,sostituiscono italiani,2
SonoEstremistiReligiosi,va contro valori di,17
SonoEstremistiReligiosi,vanno contro valori di,3
SonoEstremistiReligiosi,vogliono convertire,4
SonoEstremistiReligiosi,è religione,19
SonoEstremistiReligiosi,è valori,8
SonoFardello,eludono fisco,3
SonoFardello,hanno diritti,27
SonoFardello,migranti,4
SonoFardello,non beneficio,5
SonoFardello,non hanno diritti,6
SonoFardello,non lavorano,8
SonoFardello,non lavorare,24
SonoFardello,non meritano,3
SonoFardello,non meritano aiuto,5
SonoFardello,non ricchezza,2
SonoFardello,non utili,3
SonoFardello,pretendono aiuto,2
SonoFardello,ricevono trattamento,3
SonoFardello,rovinato economia,2
SonoFardello,rubano lavoro,6
SonoFardello,sono approfittatori,31
SonoFardello,sono avvantaggiati,9
SonoFardello,sono benestanti,9
SonoFardello,sono fannulloni,10
SonoFardello,sono fardello,53
SonoFardello,sono impuniti,29
SonoFardello,sono ingrati,11
SonoFardello,sono mantenuti,9
SonoFardello,sono mendicanti,9
SonoFardello,sono nullafacenti,3
SonoFardello,sono parassiti,153
SonoFardello,sono peso,22
SonoFardello,sono pigri,14
SonoFardello,sono privilegiati,18
SonoFardello,sono problema,2
SonoFardello,sono trattati,55
SonoFardello,sono tutelati,33
SonoFardello,sono viziati,3
SonoFardello,tolgono case,15
SonoFardello,tolgono soldi,25
SonoFardello,vivono a spalle di,3
SonoIncivili,disturbano,2
SonoIncivili,drogano,3
SonoIncivili,fanno figli,2
SonoIncivili,hanno problemi,3
SonoIncivili,migranti senza,2
SonoIncivili,non hanno competenze,2
SonoIncivili,non hanno cultura,4
SonoIncivili,non parlano italiano,2
SonoIncivili,non sanno figli,25
SonoIncivili,rovinando italia,2
SonoIncivili,rovinano italia,19
SonoIncivili,sono abusivi,4
SonoIncivili,sono animali,48
SonoIncivili,sono arretrati,6
SonoIncivili,sono codardi,3
SonoIncivili,sono dissoluti,2
SonoIncivili,sono feccia,27
SonoIncivili,sono ignoranti,13
SonoIncivili,sono immorali,2
SonoIncivili,sono incivili,16
SonoIncivili,sono incivili sono,3
SonoIncivili,sono indegni,2
SonoIncivili,sono inferiori,21
SonoIncivili,sono primitivi,5
SonoIncivili,sono retrogradi,2
SonoIncivili,sono selvaggi,31
SonoIncivili,sono stupidi,2
SonoIncivili,sono tribali,2
SonoIncivili,sono viziosi,3
SonoIncivili,è inferiore,3
SonoPericolosi,conquistare italia,6
SonoPericolosi,invadendo europa,4
SonoPericolosi,invadendo italia,50
SonoPericolosi,invadere europa,5
SonoPericolosi,invadere italia,32
SonoPericolosi,invadono italia,5
SonoPericolosi,invaso italia,10
SonoPericolosi,meritano pene,2
SonoPericolosi,non benvoluti,3
SonoPericolosi,portano insicurezza,2
SonoPericolosi,preferiscono immigrati,2
SonoPericolosi,religione a violenza,35
SonoPericolosi,religione a violenza contro,4
SonoPericolosi,sono aggressivi,3
SonoPericolosi,sono assassini,15
SonoPericolosi,sono invasori,72
SonoPericolosi,sono invasori sono,2
SonoPericolosi,sono minaccia,39
SonoPericolosi,sono pericolo,21
SonoPericolosi,sono pericolosi,52
SonoPericolosi,sono terroristi,85
SonoPericolosi,sono violente,4
SonoPericolosi,sono violenti,111
SonoPericolosi,sono vittime,8
SonoPericolosi,vanno affrontati,9
SonoPericolosi,vanno cacciati,20
SonoPericolosi,vanno contrastati,13
SonoPericolosi,vanno puniti,4
SonoPericolosi,è minaccia,25
SonoPericolosi,è pericolo,6
SonoPericolosi,è sicura,2
SonoPrivilegiati,aiuta immigrati,5
SonoPrivilegiati,aiuta rom,2
SonoPrivilegiati,aiutano rom,3
SonoPrivilegiati,avvantaggia migranti,9
SonoPrivilegiati,avvantaggia rom,9
SonoPrivilegiati,avvantaggia stranieri,2
SonoPrivilegiati,coprono crimini,2
SonoPrivilegiati,difende migranti,3
SonoPrivilegiati,difende mussulmani,3
SonoPrivilegiati,difende rom,6
SonoPrivilegiati,difendono migranti,5
SonoPrivilegiati,favorisce immigrazione,21
SonoPrivilegiati,favorisce mussulmani,3
SonoPrivilegiati,favoriscono immigrazione,9
SonoPrivilegiati,guadagna da business di,2
SonoPrivilegiati,incentivano migranti,2
SonoPrivilegiati,lucra su migranti,3
SonoPrivilegiati,lucrano su immigrati,3
SonoPrivilegiati,lucrano su migranti,12
SonoPrivilegiati,mantengono immigrati,5
SonoPrivilegiati,mantengono migranti,3
SonoPrivilegiati,mantengono nomadi,2
SonoPrivilegiati,mantengono rom,3
SonoPrivilegiati,mantengono stranieri,2
SonoPrivilegiati,non prendono cura,2
SonoPrivilegiati,preferisce immigrati,2
SonoPrivilegiati,preferisce migranti,2
SonoPrivilegiati,proteggono migranti,3
SonoPrivilegiati,proteggono stranieri,2
SonoPrivilegiati,sfrutta immigrati,2
SonoPrivilegiati,sono coperti,2
SonoPrivilegiati,sono nomadi,52
SonoPrivilegiati,sono protetti,5
SonoPrivilegiati,sono sinistra,6
SonoPrivilegiati,stanno da parte di,2
SonoPrivilegiati,tutela crimini,6
SonoPrivilegiati,tutela migranti,7
SonoPrivilegiati,tutela musulmani,4
SonoPrivilegiati,tutela rom,6
SonoPrivilegiati,tutela stranieri,6
SonoPrivilegiati,tutelano stranieri,2
SonoPrivilegiati,è business,34
SonoProblema,immigrati,2
SonoProblema,non hanno diritto,3
SonoProblema,non necessaria,2
SonoProblema,non profughi,47
SonoProblema,sono africani,5
SonoProblema,sono categoria,66
SonoProblema,sono clandestini,20
SonoProblema,sono controllo,11
SonoProblema,sono finti,13
SonoProblema,sono illegali,2
SonoProblema,sono irregolari,53
SonoProblema,sono islamici,2
SonoProblema,sono maschi,4
SonoProblema,sono migranti,2
SonoProblema,sono mussulmani,22
SonoProblema,sono musulmani,14
SonoProblema,sono persone,2
SonoProblema,sono troppi,12
SonoProblema,sono zingari,4
SonoProblema,è controllo,3
SonoProblema,è illegale,3
SonoProblema,è incontrollata,6
